City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,tiksi,71.6872,128.8694,-24.76,100,97,1.38,RU,1668135623
179,riyadh,24.6877,46.7219,22.08,24,68,4.57,SA,1668135356
180,kodiak,57.79,-152.4072,0.63,74,13,1.72,US,1668135624
181,talnakh,69.4865,88.3972,-16.55,96,100,5.74,RU,1668135625
182,sao joao da barra,-21.6403,-41.0511,21.42,96,45,3.0,BR,1668135625
183,santa rosa,14.3122,121.1114,30.01,77,55,5.68,PH,1668135522
184,santa ines,-3.6667,-45.38,23.58,90,5,1.27,BR,1668135626
185,goure,13.9835,10.2704,21.4,24,22,3.67,NE,1668135627
186,sakakah,29.9697,40.2064,15.76,51,80,3.5,SA,1668135375
187,teya,60.3778,92.6267,-5.65,95,96,1.75,RU,1668135628
188,san jeronimo,-11.9472,-75.2829,8.96,87,100,1.14,PE,1668135629
189,nantucket,41.2835,-70.0995,15.64,86,7,10.07,US,1668135629
190,sibolga,1.7427,98.7792,25.15,90,100,0.94,ID,1668135630
191,pringsewu,-5.3582,104.9744,29.57,62,100,2.04,ID,1668135631
192,goderich,43.7501,-81.7165,16.62,57,51,7.86,CA,1668135631
193,la palma,33.8464,-118.0467,16.08,69,0,1.34,US,1668135632
194,victoria,22.2855,114.1577,27.2,75,43,4.02,HK,1668135549
195,airai,-8.9266,125.4092,23.86,60,99,0.97,TL,1668135633
196,naze,28.3667,129.4833,22.95,76,26,6.49,JP,1668135635
197,majene,-3.5403,118.9707,29.83,69,91,1.47,ID,1668135635
198,padang,-0.9492,100.3543,28.03,79,80,1.78,ID,1668135628
199,concordia sagittaria,45.7594,12.8406,11.16,90,12,2.88,IT,1668135636
200,alice springs,-23.7,133.8833,34.75,26,40,6.17,AU,1668135637
201,turayf,31.6725,38.6637,14.13,49,0,4.63,SA,1668135637
202,karratha,-20.7377,116.8463,28.62,30,0,6.05,AU,1668135638
203,vanimo,-2.6741,141.3028,29.26,73,92,2.97,PG,1668135361
204,andenes,69.3143,16.1194,2.99,70,100,5.14,NO,1668135442
205,iracoubo,5.4802,-53.2011,25.08,89,18,2.8,GF,1668135638
206,bacolod,10.6667,122.95,30.63,68,85,3.17,PH,1668135639
207,tezu,27.9167,96.1667,23.93,33,0,0.92,IN,1668135639
208,luau,-10.7073,22.2247,17.58,97,100,0.83,AO,1668135640
209,gao,16.6362,1.637,21.81,16,8,4.95,ML,1668135641
210,mayumba,-3.432,10.6554,23.74,90,100,1.98,GA,1668135641
211,nikolskoye,59.7035,30.7861,9.33,92,100,3.6,RU,1668135642
212,asfi,32.2994,-9.2372,17.66,84,0,4.35,MA,1668135643
213,vila,42.0304,-8.1588,7.49,94,33,1.81,PT,1668135643
214,zhanakorgan,43.9098,67.2495,1.99,76,4,0.19,KZ,1668135644
215,ravar,31.2656,56.8055,14.16,42,74,0.29,IR,1668135645
216,pisco,-13.7,-76.2167,17.03,88,1,6.69,PE,1668135361
217,nome,64.5011,-165.4064,1.04,86,75,5.14,US,1668135646
218,chicama,-7.8447,-79.1469,17.73,83,72,3.07,PE,1668135646
219,abha,18.2164,42.5053,13.62,70,3,0.4,SA,1668135620
220,ahipara,-35.1667,173.1667,20.94,76,7,4.36,NZ,1668135647
221,hailar,49.2,119.7,-2.13,81,91,5.46,CN,1668135648
222,baykit,61.67,96.37,-10.18,94,100,0.91,RU,1668135648
223,nanyamba,-10.6833,39.8333,19.95,97,29,0.35,TZ,1668135649
224,umm lajj,25.0213,37.2685,22.71,66,70,4.41,SA,1668135649
225,nago,26.5881,127.9761,25.81,89,100,6.3,JP,1668135650
226,la rioja,42.25,-2.5,-1.12,61,0,2.69,ES,1668135650
227,elizabeth city,36.2946,-76.2511,21.11,89,100,5.92,US,1668135651
228,los llanos de aridane,28.6585,-17.9182,18.86,56,40,3.6,ES,1668135651
229,mareeba,-17.0,145.4333,29.69,55,61,4.53,AU,1668135652
230,fremont,37.5483,-121.9886,12.44,75,0,2.06,US,1668135621
231,strangnas,59.3774,17.0312,12.99,83,100,7.78,SE,1668135652
232,wanning,18.8003,110.3967,25.39,78,97,3.5,CN,1668135654
233,vardo,70.3705,31.1107,1.99,87,100,7.2,NO,1668135654
234,lushoto,-4.7833,38.2833,13.44,89,47,1.21,TZ,1668135655
235,bay city,43.5945,-83.8889,18.32,53,0,6.17,US,1668135648
236,cidreira,-30.1811,-50.2056,18.53,88,100,4.44,BR,1668135655
237,bengkulu,-3.8004,102.2655,24.57,91,99,0.51,ID,1668135656
238,misratah,32.3754,15.0925,20.0,70,61,2.67,LY,1668135656
239,dawson creek,55.7666,-120.2362,-12.68,92,72,1.49,CA,1668135657
240,huarmey,-10.0681,-78.1522,17.96,84,54,4.27,PE,1668135657
241,vila velha,-20.3297,-40.2925,24.97,91,100,3.6,BR,1668135444
242,allapalli,19.4167,80.0667,22.37,61,96,1.72,IN,1668135658
243,ugoofaaru,5.6667,73.0,27.3,72,100,2.96,MV,1668135659
244,oksfjord,70.2396,22.3479,1.1,91,63,5.58,NO,1668135659
245,isangel,-19.55,169.2667,27.61,76,15,2.07,VU,1668135660
246,villa altagracia,18.673,-70.171,25.62,95,1,0.34,DO,1668135661
247,te anau,-45.4167,167.7167,22.6,39,69,1.42,NZ,1668135367
248,bilibino,68.0546,166.4372,-19.54,100,100,1.15,RU,1668135662
249,port elizabeth,-33.918,25.5701,17.83,95,81,3.58,ZA,1668135615
